#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2021,1,3,1,56,999,99.0,99.0,1.80,18.18,11.89,7,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,2,26,999,99.0,99.0,1.69,11.76,11.38,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,2,56,999,99.0,99.0,1.50,16.67,11.02,6,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,3,26,999,99.0,99.0,1.63,11.11,11.27,343,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,3,56,999,99.0,99.0,1.80,11.11,11.54,345,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,4,26,999,99.0,99.0,1.79,11.11,11.38,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,4,56,999,99.0,99.0,1.69,18.18,11.46,6,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,5,26,999,99.0,99.0,1.92,11.11,11.44,349,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,3,5,56,999,99.0,99.0,1.76,16.67,11.37,10,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,6,26,999,99.0,99.0,1.85,18.18,11.41,10,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,6,56,999,99.0,99.0,1.78,11.76,11.27,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,7,26,999,99.0,99.0,1.86,12.50,11.19,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,7,56,999,99.0,99.0,2.04,13.33,11.68,352,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,8,26,999,99.0,99.0,2.15,12.50,11.97,351,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,8,56,999,99.0,99.0,2.08,16.67,12.29,359,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,9,26,999,99.0,99.0,1.95,14.29,12.20,352,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,9,56,999,99.0,99.0,1.79,16.67,11.99,0,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,10,26,999,99.0,99.0,1.95,16.67,12.39,0,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,10,56,999,99.0,99.0,1.81,13.33,11.66,353,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,11,26,999,99.0,99.0,1.65,12.50,11.40,351,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,11,56,999,99.0,99.0,1.65,11.76,11.17,351,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,12,26,999,99.0,99.0,1.46,14.29,10.61,359,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,12,56,999,99.0,99.0,1.74,16.67,11.66,3,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,13,26,999,99.0,99.0,1.73,11.11,11.13,345,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,13,56,999,99.0,99.0,1.48,12.50,10.58,352,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,14,26,999,99.0,99.0,1.60,11.11,10.90,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,14,56,999,99.0,99.0,1.60,11.76,11.15,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,15,26,999,99.0,99.0,1.63,11.11,11.16,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,15,56,999,99.0,99.0,1.52,14.29,11.18,355,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,16,26,999,99.0,99.0,1.54,11.76,11.07,346,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,16,56,999,99.0,99.0,1.40,13.33,11.09,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,17,26,999,99.0,99.0,1.60,15.38,11.50,355,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,17,56,999,99.0,99.0,1.59,13.33,11.33,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,3,18,26,999,99.0,99.0,1.82,12.50,11.81,346,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,3,18,56,999,99.0,99.0,1.66,15.38,11.67,353,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,3,19,26,999,99.0,99.0,1.60,15.38,11.62,353,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,3,19,56,999,99.0,99.0,1.65,12.50,11.66,348,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,3,20,26,999,99.0,99.0,1.71,14.29,11.38,348,9999.0,999.0,12.5,999.0,99.0,99.00
2021,1,3,20,56,999,99.0,99.0,2.09,14.29,12.34,348,9999.0,999.0,12.5,999.0,99.0,99.00
2021,1,3,21,26,999,99.0,99.0,1.77,13.33,11.71,353,9999.0,999.0,12.5,999.0,99.0,99.00
2021,1,3,21,56,999,99.0,99.0,1.77,13.33,11.72,352,9999.0,999.0,12.5,999.0,99.0,99.00
2021,1,3,22,26,999,99.0,99.0,1.88,14.29,12.24,343,9999.0,999.0,12.5,999.0,99.0,99.00
2021,1,3,22,56,999,99.0,99.0,1.76,13.33,11.94,355,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,3,23,26,999,99.0,99.0,1.90,15.38,12.01,355,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,3,23,56,999,99.0,99.0,1.58,15.38,11.24,359,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,0,26,999,99.0,99.0,1.56,11.76,11.09,352,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,0,56,999,99.0,99.0,1.59,14.29,11.02,3,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,1,26,999,99.0,99.0,1.53,14.29,10.56,358,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,1,56,999,99.0,99.0,1.36,15.38,10.21,7,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,2,26,999,99.0,99.0,1.56,12.50,10.48,353,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,2,56,999,99.0,99.0,1.63,11.76,10.81,346,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,3,26,999,99.0,99.0,1.67,15.38,11.00,3,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,3,56,999,99.0,99.0,1.78,13.33,11.09,352,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,4,26,999,99.0,99.0,1.73,12.50,10.79,348,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,4,56,999,99.0,99.0,1.64,11.76,11.05,348,9999.0,999.0,12.4,999.0,99.0,99.00
