#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2017,1,2,19,49,999,99.0,99.0,0.98,10.53,9.13,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,20,19,999,99.0,99.0,0.99,11.76,9.63,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,20,49,999,99.0,99.0,1.15,10.53,9.52,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,21,19,999,99.0,99.0,1.16,11.11,9.30,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,21,49,999,99.0,99.0,1.13,9.88,8.82,339,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,22,19,999,99.0,99.0,1.17,9.88,9.14,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,22,49,999,99.0,99.0,1.12,10.53,8.92,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,23,19,999,99.0,99.0,1.05,11.11,8.73,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,2,23,49,999,99.0,99.0,1.01,9.88,8.89,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,0,19,999,99.0,99.0,1.20,9.88,9.03,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,0,49,999,99.0,99.0,1.08,9.88,8.55,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,1,19,999,99.0,99.0,1.08,10.53,8.55,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,1,49,999,99.0,99.0,1.07,9.88,8.56,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,2,19,999,99.0,99.0,1.12,9.88,8.93,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,2,49,999,99.0,99.0,1.17,10.53,9.04,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,3,19,999,99.0,99.0,1.19,10.53,9.21,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,3,49,999,99.0,99.0,1.05,10.53,9.13,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,4,19,999,99.0,99.0,1.11,10.53,9.28,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,4,49,999,99.0,99.0,1.09,11.11,9.21,348,9999.0,999.0,11.9,999.0,99.0,99.00
